subjID,is_control,eval_index,eval_n_start_ts,rule_text,is_target_rule,input_rule_rating,eval_n_end_ts
user_1579305710969,True,1,1579308018488,"If a lure combination has a red shape or a blue shape, it will catch fish.",False,2,1579308090652
user_1579305710969,True,2,1579308090652,"If a lure combination has a diamond, it will catch fish.",False,1,1579308108219
user_1579305710969,True,3,1579308108219,"If a lure combination has a pointy shape on the bottom, it will catch fish.",True,2,1579308166819
user_1579305710969,True,4,1579308166819,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",False,6,1579308213785
user_1579305710969,True,5,1579308213785,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",False,5,1579308276225
user_1579305710969,True,6,1579308276225,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",False,1,1579308305664
user_1579194678938,False,1,1579195028344,"If a lure combination has a red shape or a blue shape, it will catch fish.",False,7,1579195056076
user_1579194678938,False,2,1579195056076,"If a lure combination has a diamond, it will catch fish.",False,7,1579195061621
user_1579194678938,False,3,1579195061622,"If a lure combination has a pointy shape on the bottom, it will catch fish.",True,7,1579195068349
user_1579194678938,False,4,1579195068349,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",False,7,1579195077799
user_1579194678938,False,5,1579195077800,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",False,7,1579195082254
user_1579194678938,False,6,1579195082255,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",False,7,1579195088935
user_1579284326081,True,1,1579284934540,"If a lure combination has a red shape or a blue shape, it will catch fish.",False,4,1579284959930
user_1579284326081,True,2,1579284959930,"If a lure combination has a diamond, it will catch fish.",False,5,1579284969048
user_1579284326081,True,3,1579284969048,"If a lure combination has a pointy shape on the bottom, it will catch fish.",True,6,1579284977088
user_1579284326081,True,4,1579284977089,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",False,4,1579284997220
user_1579284326081,True,5,1579284997220,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",False,4,1579285004514
user_1579284326081,True,6,1579285004514,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",False,5,1579285011490
user_1579215643144,False,1,1579216140886,"If a lure combination has a red shape or a blue shape, it will catch fish.",False,3,1579216155501
user_1579215643144,False,2,1579216155501,"If a lure combination has a diamond, it will catch fish.",False,4,1579216165621
user_1579215643144,False,3,1579216165621,"If a lure combination has a pointy shape on the bottom, it will catch fish.",True,6,1579216180189
user_1579215643144,False,4,1579216180189,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",False,4,1579216191109
user_1579215643144,False,5,1579216191109,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",False,5,1579216206413
user_1579215643144,False,6,1579216206413,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",False,5,1579216223717
user_1579197988272,False,1,1579198757773,"If a lure combination has a red shape or a blue shape, it will catch fish.",False,1,1579198801273
user_1579197988272,False,2,1579198801274,"If a lure combination has a diamond, it will catch fish.",False,1,1579198815240
user_1579197988272,False,3,1579198815241,"If a lure combination has a pointy shape on the bottom, it will catch fish.",True,7,1579198831249
user_1579197988272,False,4,1579198831250,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",False,4,1579198849584
user_1579197988272,False,5,1579198849585,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",False,7,1579198865640
user_1579197988272,False,6,1579198865641,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",False,5,1579198879774
user_1579215658114,False,1,1579216115874,"If a lure combination has a red shape or a blue shape, it will catch fish.",False,1,1579216145465
user_1579215658114,False,2,1579216145465,"If a lure combination has a diamond, it will catch fish.",False,2,1579216151457
user_1579215658114,False,3,1579216151457,"If a lure combination has a pointy shape on the bottom, it will catch fish.",True,7,1579216156897
user_1579215658114,False,4,1579216156897,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",False,2,1579216163929
user_1579215658114,False,5,1579216163929,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",False,3,1579216183953
user_1579215658114,False,6,1579216183953,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",False,1,1579216208393
user_1579215605616,False,1,1579216105452,"If a lure combination has a red shape or a blue shape, it will catch fish.",False,1,1579216118171
user_1579215605616,False,2,1579216118171,"If a lure combination has a diamond, it will catch fish.",False,1,1579216127298
user_1579215605616,False,3,1579216127298,"If a lure combination has a pointy shape on the bottom, it will catch fish.",True,7,1579216133058
user_1579215605616,False,4,1579216133058,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",False,3,1579216145019
user_1579215605616,False,5,1579216145019,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",False,1,1579216150315
user_1579215605616,False,6,1579216150315,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",False,1,1579216159691
user_1579305551774,True,1,1579306486567,"If a lure combination has a red shape or a blue shape, it will catch fish.",False,1,1579306506447
user_1579305551774,True,2,1579306506447,"If a lure combination has a diamond, it will catch fish.",False,1,1579306518317
user_1579305551774,True,3,1579306518317,"If a lure combination has a pointy shape on the bottom, it will catch fish.",True,7,1579306527485
user_1579305551774,True,4,1579306527485,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",False,1,1579306549861
user_1579305551774,True,5,1579306549861,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",False,2,1579306572397
user_1579305551774,True,6,1579306572397,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",False,1,1579306581534
user_1579197975863,True,1,1579198285071,"If a lure combination has a red shape or a blue shape, it will catch fish.",False,1,1579198320046
user_1579197975863,True,2,1579198320046,"If a lure combination has a diamond, it will catch fish.",False,2,1579198328517
user_1579197975863,True,3,1579198328517,"If a lure combination has a pointy shape on the bottom, it will catch fish.",True,7,1579198339453
user_1579197975863,True,4,1579198339453,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",False,2,1579198346053
user_1579197975863,True,5,1579198346053,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",False,5,1579198358037
user_1579197975863,True,6,1579198358037,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",False,1,1579198362469
user_1579305576041,True,1,1579306012942,"If a lure combination has a red shape or a blue shape, it will catch fish.",False,2,1579306030444
user_1579305576041,True,2,1579306030444,"If a lure combination has a diamond, it will catch fish.",False,2,1579306068923
user_1579305576041,True,3,1579306068923,"If a lure combination has a pointy shape on the bottom, it will catch fish.",True,7,1579306076395
user_1579305576041,True,4,1579306076395,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",False,2,1579306096179
user_1579305576041,True,5,1579306096179,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",False,3,1579306119171
user_1579305576041,True,6,1579306119171,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",False,2,1579306133075
user_1579284442919,False,1,1579285411256,"If a lure combination has a red shape or a blue shape, it will catch fish.",False,1,1579285430843
user_1579284442919,False,2,1579285430844,"If a lure combination has a diamond, it will catch fish.",False,1,1579285441227
user_1579284442919,False,3,1579285441227,"If a lure combination has a pointy shape on the bottom, it will catch fish.",True,7,1579285445643
user_1579284442919,False,4,1579285445643,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",False,1,1579285451410
user_1579284442919,False,5,1579285451411,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",False,3,1579285462914
user_1579284442919,False,6,1579285462915,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",False,3,1579285479354
user_1579197956417,True,1,1579198430413,"If a lure combination has a red shape or a blue shape, it will catch fish.",False,3,1579198440611
user_1579197956417,True,2,1579198440611,"If a lure combination has a diamond, it will catch fish.",False,5,1579198462827
user_1579197956417,True,3,1579198462827,"If a lure combination has a pointy shape on the bottom, it will catch fish.",True,2,1579198474755
user_1579197956417,True,4,1579198474755,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",False,7,1579198487587
user_1579197956417,True,5,1579198487587,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",False,5,1579198496875
user_1579197956417,True,6,1579198496875,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",False,3,1579198506083
user_1579197963470,False,1,1579198446221,"If a lure combination has a red shape or a blue shape, it will catch fish.",False,2,1579198457349
user_1579197963470,False,2,1579198457349,"If a lure combination has a diamond, it will catch fish.",False,2,1579198468228
